,State,Year,Month,Residential_MkWh,Industrial_MkWh,Commercial_MkWh,Value,Anomaly
2805,IA,2017,10,972497.0,1984651.0,1018697.0,50.6,1.8
2806,IA,2017,11,1011209.0,1927699.0,995170.0,49.9,1.2
2807,IA,2017,12,1324796.0,1921316.0,1075788.0,50.0,1.3
2808,IA,2018,1,1637564.0,1886420.0,1100582.0,49.5,0.8
2809,IA,2018,2,1294209.0,1849254.0,1005704.0,48.3,-0.4
2810,IA,2018,3,1225540.0,1903463.0,1015868.0,48.1,-0.6
2811,IA,2018,4,1068663.0,1954160.0,953871.0,47.1,-1.6
2812,IA,2018,5,978128.0,2022486.0,977280.0,47.8,-0.9
2813,IA,2018,6,1325594.0,2090657.0,1069076.0,48.0,-0.7
2814,IA,2018,7,1420616.0,2021670.0,1094276.0,47.9,-0.8
2815,IA,2018,8,1412342.0,2165271.0,1166027.0,48.2,-0.5
2816,IA,2018,9,1069247.0,2020267.0,988075.0,48.1,-0.6
2817,IA,2018,10,949285.0,2017362.0,999348.0,47.7,-1.1
2818,IA,2018,11,1067615.0,2081966.0,1011578.0,47.2,-1.5
2819,IA,2018,12,1391546.0,1939659.0,1039292.0,47.5,-1.2
2820,IA,2019,1,1501209.0,1936320.0,1093336.0,47.6,-1.1
2821,IA,2019,2,1384506.0,1781674.0,1014144.0,47.1,-1.6
2822,IA,2019,3,1354419.0,1854278.0,1076472.0,46.8,-1.9
2823,IA,2019,4,867601.0,1999099.0,889992.0,47.6,-1.1
2824,IA,2019,5,918959.0,1933390.0,928678.0,46.8,-1.9
2825,IA,2019,6,1047089.0,2017775.0,969325.0,46.4,-2.3
2826,IA,2019,7,1472198.0,2065376.0,1132103.0,46.6,-2.1
2827,IA,2019,8,1298086.0,2017280.0,1073368.0,46.4,-2.3
2828,IA,2019,9,1054100.0,2030058.0,1024965.0,46.6,-2.1
2829,IA,2019,10,1009325.0,1909816.0,1010457.0,46.5,-2.3
2830,IA,2019,11,1009920.0,2024715.0,1017392.0,46.7,-2.0
2831,IA,2019,12,1325250.0,1896282.0,1084232.0,46.8,-1.9
2832,IA,2020,1,1493000.0,1960000.0,1096000.0,47.2,-1.5
2833,IA,2020,2,1264000.0,2061000.0,1003000.0,48.0,-0.7
2834,IA,2020,3,1141000.0,1972000.0,953000.0,48.8,0.1
2835,IA,2020,4,1028000.0,1881000.0,811000.0,48.5,-0.2
2836,IA,2020,5,937000.0,1998000.0,798000.0,48.6,-0.1
2837,IA,2020,6,1284000.0,2062000.0,976000.0,48.9,0.2
2838,IA,2020,7,1551000.0,2120000.0,1094000.0,48.9,0.2
2839,IA,2020,8,1407000.0,2170000.0,1051000.0,49.1,0.4
2840,IA,2020,9,1058000.0,2038000.0,946000.0,48.6,-0.1
2841,IA,2020,10,939000.0,2123000.0,982000.0,48.5,-0.3
2842,IA,2020,11,1041000.0,2073000.0,896000.0,49.3,0.6
2843,IA,2020,12,1427000.0,2010000.0,999000.0,49.2,0.5
2844,IA,2021,1,1466284.8,2085496.2,1006627.6,49.2,0.5
2845,IA,2021,2,1377249.9,2077620.6,999911.42,48.2,-0.5
2846,IA,2021,3,1196393.5,2120715.0,985297.36,48.4,-0.3
2847,IA,2021,4,950086.01,2086274.9,883282.07,48.6,-0.1
2848,IA,2021,5,957054.22,2148425.2,910413.78,48.7,0.0
2849,IA,2021,6,1327643.9,2268169.0,1051443.2,48.7,0.0
2850,IA,2021,7,1510572.8,2241607.6,1130358.5,48.6,-0.1
2851,IA,2021,8,1452965.4,2376816.9,1115473.4,48.7,0.0
2852,IA,2021,9,1125665.1,2158544.9,1012722.1,49.1,0.4
2853,IA,2021,10,1003986.2,2182593.4,1025643.3,49.8,1.0
2854,IA,2021,11,968371.09,2212169.0,975880.02,49.6,0.9
2855,IA,2021,12,1315482.1,2147984.3,1038044.3,50.0,1.3
2856,IA,2022,1,1684036.1,2080029.2,1155206.1,49.3,0.6
2857,IA,2022,2,1329453.1,2096710.6,994225.86,50.0,1.3
2858,IA,2022,3,1220848.4,2270707.1,1006707.4,49.6,0.9
2859,IA,2022,4,1058426.2,2070369.9,938717.73,49.1,0.4
2860,IA,2022,5,1043917.2,2290892.1,970170.97,49.3,0.6
2861,IA,2022,6,1267716.0,2233570.8,1050023.9,49.1,0.4
2862,IA,2022,7,1537817.0,2375313.6,1105409.8,49.2,0.5
2863,IA,2022,8,1449733.2,2282028.4,1143423.3,49.1,0.4
2864,IA,2022,9,1078478.8,2268420.5,993761.5,49.0,0.3
2865,IA,2022,10,896682.23,2176460.2,1002011.0,48.6,-0.2
2866,IA,2022,11,1056142.5,2257291.1,997860.65,48.4,-0.3
2867,IA,2022,12,1569608.4,2139230.7,1112553.8,47.5,-1.2
2868,IA,2023,1,1529790.2,2241208.2,1111698.5,48.3,-0.4
2869,IA,2023,2,1274577.3,2080501.1,1003296.2,48.7,0.0
2870,IA,2023,3,1283317.6,2241798.3,1061061.2,48.4,-0.3
2871,IA,2023,4,993008.39,2194573.6,915075.99,48.9,0.2
2872,IA,2023,5,975691.31,2361438.0,996040.4,49.0,0.3
2873,IA,2023,6,1243348.5,2265472.4,1074950.0,49.0,0.3
2874,IA,2023,7,1407625.8,2312789.6,1115550.2,48.8,0.1
2875,IA,2023,8,1444399.7,2490881.0,1183529.6,48.8,0.1
2876,IA,2023,9,1134079.1,2203996.1,1031794.0,49.0,0.3
2877,IA,2023,10,951399.25,2373002.8,1041748.7,49.3,0.5
2878,IA,2023,11,1007990.3,2191649.1,997129.32,49.4,0.7
2879,IA,2023,12,1336617.5,2260179.8,1069049.9,50.5,1.8
2880,ID,2000,1,779535.0,689079.0,431617.0,43.5,-0.6
2881,ID,2000,2,683212.0,671218.0,419574.0,43.9,-0.2
2882,ID,2000,3,606793.0,679321.0,408416.0,43.9,-0.2
2883,ID,2000,4,506700.0,643026.0,470642.0,44.5,0.4
2884,ID,2000,5,436636.0,703715.0,624224.0,44.8,0.7
2885,ID,2000,6,445319.0,854905.0,904359.0,45.1,1.0
2886,ID,2000,7,476326.0,836938.0,940681.0,45.3,1.2
2887,ID,2000,8,567914.0,772344.0,802510.0,45.4,1.3
2888,ID,2000,9,440747.0,669477.0,632602.0,45.3,1.1
2889,ID,2000,10,509342.0,625525.0,534652.0,45.2,1.0
2890,ID,2000,11,634515.0,593861.0,463202.0,44.1,0.0
2891,ID,2000,12,919452.0,668289.0,435377.0,43.9,-0.3
2892,ID,2001,1,848622.0,671139.0,480134.0,43.7,-0.4
2893,ID,2001,2,720679.0,578848.0,417110.0,43.1,-1.0
2894,ID,2001,3,650393.0,584353.0,411401.0,43.3,-0.8
2895,ID,2001,4,535517.0,568544.0,437974.0,42.9,-1.2
2896,ID,2001,5,468589.0,600773.0,595800.0,43.1,-1.0
2897,ID,2001,6,400813.0,704200.0,758143.0,43.0,-1.1
2898,ID,2001,7,474507.0,690746.0,736904.0,42.9,-1.2
2899,ID,2001,8,523501.0,702760.0,760786.0,43.1,-1.0
2900,ID,2001,9,421238.0,605243.0,565747.0,43.5,-0.7
2901,ID,2001,10,472758.0,565735.0,499640.0,43.5,-0.7
2902,ID,2001,11,587388.0,546790.0,429737.0,44.4,0.3
2903,ID,2001,12,801542.0,486281.0,449973.0,44.2,0.0
2904,ID,2002,1,793077.0,419100.0,617283.0,44.3,0.2
2905,ID,2002,2,738638.0,338292.0,585944.0,44.2,0.1
2906,ID,2002,3,711488.0,358192.0,578025.0,43.6,-0.5
2907,ID,2002,4,507624.0,428275.0,527281.0,43.7,-0.4
2908,ID,2002,5,490681.0,569566.0,562256.0,43.4,-0.7
2909,ID,2002,6,483788.0,749960.0,584551.0,43.5,-0.6
2910,ID,2002,7,551900.0,885668.0,590418.0,43.8,-0.3
2911,ID,2002,8,483242.0,767704.0,624192.0,43.3,-0.8
2912,ID,2002,9,416189.0,595101.0,539541.0,43.0,-1.2
2913,ID,2002,10,517120.0,461585.0,569971.0,42.7,-1.5
2914,ID,2002,11,622407.0,403158.0,574810.0,42.4,-1.7
2915,ID,2002,12,739758.0,375561.0,608254.0,43.0,-1.2
2916,ID,2003,1,733575.0,484153.0,456828.0,43.6,-0.5
2917,ID,2003,2,668538.0,473335.0,439448.0,43.9,-0.2
2918,ID,2003,3,619232.0,470216.0,436511.0,44.4,0.3
2919,ID,2003,4,527830.0,544902.0,414142.0,44.4,0.3
2920,ID,2003,5,499385.0,711713.0,423564.0,44.5,0.4
2921,ID,2003,6,486619.0,1090839.0,438051.0,44.5,0.4
2922,ID,2003,7,569518.0,1254172.0,504502.0,44.6,0.5
2923,ID,2003,8,556379.0,1074816.0,499501.0,45.1,1.0
2924,ID,2003,9,508709.0,791696.0,472302.0,45.2,1.0
2925,ID,2003,10,499221.0,657740.0,450219.0,45.8,1.6
2926,ID,2003,11,652826.0,571831.0,453805.0,45.4,1.3
2927,ID,2003,12,767913.0,537180.0,477475.0,45.4,1.2
2928,ID,2004,1,911681.0,583555.0,473345.0,44.7,0.6
2929,ID,2004,2,698281.0,544607.0,476585.0,44.6,0.5
2930,ID,2004,3,639004.0,549874.0,433115.0,44.8,0.7
2931,ID,2004,4,512489.0,649964.0,416034.0,45.2,1.1
2932,ID,2004,5,447693.0,910179.0,407740.0,45.1,1.0
2933,ID,2004,6,505197.0,1068086.0,460840.0,45.0,0.9
2934,ID,2004,7,570997.0,1194495.0,483225.0,44.7,0.6
2935,ID,2004,8,553345.0,975626.0,485987.0,44.3,0.2
2936,ID,2004,9,480119.0,780392.0,454743.0,44.1,-0.1
2937,ID,2004,10,515568.0,628919.0,430130.0,43.7,-0.5
2938,ID,2004,11,644570.0,540547.0,444375.0,44.1,0.0
2939,ID,2004,12,834983.0,584486.0,517897.0,44.2,0.0
2940,ID,2005,1,845485.0,590894.0,487378.0,44.5,0.4
2941,ID,2005,2,699636.0,542294.0,454389.0,44.6,0.5
2942,ID,2005,3,672854.0,531275.0,448808.0,44.4,0.3
2943,ID,2005,4,542559.0,598100.0,427404.0,44.1,0.0
2944,ID,2005,5,519934.0,618292.0,425684.0,44.2,0.1
2945,ID,2005,6,497705.0,913980.0,473709.0,43.9,-0.2
2946,ID,2005,7,610502.0,1165610.0,477607.0,43.9,-0.2
2947,ID,2005,8,581322.0,1088455.0,527971.0,44.0,-0.1
2948,ID,2005,9,495905.0,865003.0,455122.0,44.0,-0.2
2949,ID,2005,10,534420.0,599441.0,433482.0,44.1,-0.1
2950,ID,2005,11,671898.0,560371.0,485292.0,44.0,-0.1
2951,ID,2005,12,928547.0,562728.0,518626.0,43.6,-0.6
2952,ID,2006,1,845775.0,570409.0,495600.0,43.7,-0.4
2953,ID,2006,2,754547.0,520445.0,464185.0,43.4,-0.7
2954,ID,2006,3,742240.0,550196.0,469150.0,43.1,-1.0
2955,ID,2006,4,581966.0,567366.0,423053.0,43.2,-0.9
2956,ID,2006,5,514120.0,873813.0,462964.0,43.3,-0.8
2957,ID,2006,6,557008.0,1040077.0,474075.0,43.8,-0.3
2958,ID,2006,7,708649.0,1196871.0,536667.0,44.1,0.0
2959,ID,2006,8,634397.0,1058231.0,531806.0,44.0,-0.1
2960,ID,2006,9,531548.0,853771.0,469318.0,44.1,-0.1
2961,ID,2006,10,565691.0,596042.0,475818.0,43.9,-0.3
2962,ID,2006,11,721339.0,548421.0,491403.0,44.0,-0.1
2963,ID,2006,12,900195.0,515410.0,519182.0,44.2,0.0
2964,ID,2007,1,973800.0,599838.0,543955.0,43.6,-0.5
2965,ID,2007,2,782041.0,532472.0,452645.0,44.1,0.0
2966,ID,2007,3,692653.0,512057.0,483883.0,44.7,0.6
2967,ID,2007,4,572894.0,634982.0,458286.0,44.7,0.6
2968,ID,2007,5,560372.0,962760.0,481621.0,44.7,0.6
2969,ID,2007,6,574181.0,1211431.0,483222.0,44.6,0.5
2970,ID,2007,7,723899.0,1263863.0,570120.0,44.8,0.7
2971,ID,2007,8,671670.0,1081158.0,541778.0,44.9,0.8
2972,ID,2007,9,543326.0,800336.0,490005.0,44.9,0.7
2973,ID,2007,10,590614.0,650317.0,477405.0,44.9,0.7
2974,ID,2007,11,725851.0,565653.0,492211.0,44.9,0.8
2975,ID,2007,12,928131.0,586325.0,539430.0,44.8,0.6
2976,ID,2008,1,1004881.0,562191.0,553353.0,44.7,0.6
2977,ID,2008,2,849314.0,579012.0,498924.0,44.4,0.3
2978,ID,2008,3,753446.0,574756.0,493062.0,43.7,-0.4
2979,ID,2008,4,673069.0,617155.0,463846.0,43.2,-0.9
2980,ID,2008,5,579709.0,901563.0,486066.0,42.9,-1.2
2981,ID,2008,6,569735.0,1096599.0,478568.0,42.6,-1.5
2982,ID,2008,7,704412.0,1262096.0,554505.0,42.2,-1.9
2983,ID,2008,8,659391.0,1120230.0,554335.0,42.1,-2.0
2984,ID,2008,9,516851.0,844647.0,474830.0,42.2,-2.0
2985,ID,2008,10,579696.0,659351.0,485775.0,42.3,-1.9
2986,ID,2008,11,704263.0,538877.0,490837.0,42.6,-1.5
2987,ID,2008,12,944976.0,556691.0,514480.0,42.5,-1.7
2988,ID,2009,1,972022.0,536804.0,548004.0,43.0,-1.1
2989,ID,2009,2,813386.0,495720.0,482705.0,43.0,-1.1
2990,ID,2009,3,785394.0,531346.0,492192.0,43.0,-1.1
2991,ID,2009,4,629555.0,541020.0,453450.0,43.4,-0.7
2992,ID,2009,5,574473.0,790252.0,477279.0,43.6,-0.5
2993,ID,2009,6,531896.0,785733.0,465630.0,43.6,-0.5
2994,ID,2009,7,696122.0,1026899.0,542769.0,43.5,-0.6
2995,ID,2009,8,632963.0,1017856.0,535897.0,43.4,-0.7
2996,ID,2009,9,575195.0,776926.0,493437.0,43.8,-0.4
2997,ID,2009,10,601110.0,580203.0,479293.0,43.4,-0.8
2998,ID,2009,11,746601.0,550423.0,482483.0,43.1,-1.0
2999,ID,2009,12,994893.0,561553.0,552295.0,42.8,-1.4
3000,ID,2010,1,915564.0,562578.0,521723.0,43.1,-1.0
3001,ID,2010,2,743622.0,531464.0,469967.0,43.2,-0.9
3002,ID,2010,3,719684.0,540444.0,478922.0,43.5,-0.6
3003,ID,2010,4,620944.0,606715.0,456786.0,43.5,-0.6
3004,ID,2010,5,564728.0,735203.0,446578.0,42.9,-1.2
3005,ID,2010,6,542460.0,898996.0,465861.0,42.8,-1.3
3006,ID,2010,7,662328.0,1226157.0,538008.0,42.7,-1.4
3007,ID,2010,8,628932.0,1115658.0,512908.0,42.6,-1.5
3008,ID,2010,9,531143.0,851581.0,480934.0,42.3,-1.9
3009,ID,2010,10,539864.0,629106.0,479995.0,43.0,-1.2
3010,ID,2010,11,729984.0,542190.0,494281.0,42.8,-1.3
3011,ID,2010,12,937481.0,555956.0,518919.0,43.3,-0.9
3012,ID,2011,1,956615.0,571321.0,535236.0,43.0,-1.1
3013,ID,2011,2,811233.0,544395.0,507926.0,42.6,-1.5
3014,ID,2011,3,769947.0,550568.0,499991.0,42.4,-1.7
3015,ID,2011,4,630346.0,576121.0,457747.0,42.1,-2.0
3016,ID,2011,5,567666.0,662341.0,445598.0,42.3,-1.8
3017,ID,2011,6,538659.0,887385.0,460826.0,42.2,-1.9
3018,ID,2011,7,665323.0,1284888.0,531067.0,42.2,-1.9
3019,ID,2011,8,651491.0,1157865.0,545062.0,42.4,-1.7
3020,ID,2011,9,576532.0,843455.0,499984.0,42.7,-1.5
3021,ID,2011,10,535974.0,686414.0,464284.0,42.5,-1.7
3022,ID,2011,11,746242.0,587777.0,489918.0,42.5,-1.6
3023,ID,2011,12,939839.0,559868.0,531824.0,42.4,-1.8
3024,ID,2012,1,904566.0,594653.0,520045.0,42.6,-1.5
3025,ID,2012,2,786877.0,540504.0,491306.0,42.9,-1.2
3026,ID,2012,3,726501.0,559969.0,473832.0,43.2,-0.9
3027,ID,2012,4,585167.0,620593.0,460824.0,43.8,-0.3
3028,ID,2012,5,537796.0,922719.0,474812.0,44.1,0.0
3029,ID,2012,6,563428.0,1155379.0,484751.0,44.4,0.3
3030,ID,2012,7,705172.0,1305763.0,528889.0,44.7,0.6
3031,ID,2012,8,716121.0,1172262.0,579170.0,44.8,0.7
3032,ID,2012,9,534996.0,891701.0,483845.0,44.7,0.5
3033,ID,2012,10,558328.0,701637.0,497723.0,44.6,0.4
3034,ID,2012,11,686412.0,554658.0,462904.0,45.0,0.9
3035,ID,2012,12,853984.0,554554.0,520015.0,45.1,0.9
3036,ID,2013,1,1054532.0,604508.0,563859.0,44.6,0.5
3037,ID,2013,2,787183.0,529224.0,494153.0,44.5,0.4
3038,ID,2013,3,720349.0,561954.0,498061.0,44.4,0.3
3039,ID,2013,4,599138.0,646692.0,473373.0,44.0,-0.1
3040,ID,2013,5,556759.0,957064.0,500863.0,44.2,0.1
3041,ID,2013,6,569547.0,1214679.0,507452.0,44.4,0.3
3042,ID,2013,7,746575.0,1308865.0,567940.0,44.5,0.4
3043,ID,2013,8,709318.0,1089442.0,572911.0,44.5,0.4
3044,ID,2013,9,550149.0,773818.0,502755.0,44.4,0.2
3045,ID,2013,10,590240.0,614209.0,509808.0,44.3,0.1
3046,ID,2013,11,717843.0,508759.0,492684.0,44.1,0.0
3047,ID,2013,12,1017630.0,529283.0,566439.0,43.7,-0.5
3048,ID,2014,1,948760.0,555493.0,560121.0,44.3,0.2
3049,ID,2014,2,783398.0,499173.0,486050.0,44.4,0.3
3050,ID,2014,3,696796.0,528295.0,489127.0,44.5,0.4
3051,ID,2014,4,584296.0,650109.0,468188.0,44.6,0.5
3052,ID,2014,5,542004.0,879557.0,484706.0,44.6,0.5
3053,ID,2014,6,551339.0,1237936.0,500571.0,44.4,0.3
3054,ID,2014,7,741818.0,1233805.0,565550.0,44.4,0.3
3055,ID,2014,8,647693.0,961227.0,544075.0,44.1,0.0
3056,ID,2014,9,517145.0,765431.0,499309.0,44.1,-0.1
3057,ID,2014,10,527903.0,627061.0,491153.0,44.7,0.5
3058,ID,2014,11,737761.0,505681.0,513865.0,44.4,0.3
3059,ID,2014,12,856000.0,526693.0,525195.0,45.1,0.9
3060,ID,2015,1,914537.0,508338.0,538262.0,45.2,1.1
3061,ID,2015,2,671899.0,491071.0,514173.0,45.8,1.7
3062,ID,2015,3,650456.0,534621.0,490134.0,46.2,2.1
3063,ID,2015,4,568607.0,749981.0,471106.0,46.2,2.1
3064,ID,2015,5,511689.0,808203.0,485362.0,46.2,2.1
3065,ID,2015,6,648436.0,1130611.0,545473.0,46.9,2.8
3066,ID,2015,7,706815.0,1148426.0,564145.0,46.6,2.5
3067,ID,2015,8,687546.0,1001829.0,572125.0,46.7,2.6
3068,ID,2015,9,521227.0,803271.0,508860.0,46.7,2.5
3069,ID,2015,10,522379.0,591899.0,503572.0,46.9,2.7
3070,ID,2015,11,713774.0,496496.0,507723.0,46.8,2.7
3071,ID,2015,12,937326.0,475733.0,562706.0,46.4,2.2
3072,ID,2016,1,935257.0,507902.0,547865.0,46.1,2.0
3073,ID,2016,2,751269.0,475323.0,506029.0,45.9,1.8
3074,ID,2016,3,678900.0,484340.0,502436.0,45.5,1.4
3075,ID,2016,4,551976.0,577588.0,474590.0,45.9,1.8
3076,ID,2016,5,513575.0,768702.0,491684.0,45.8,1.7
3077,ID,2016,6,617084.0,1146206.0,546269.0,45.5,1.4
3078,ID,2016,7,707912.0,1205420.0,545616.0,45.5,1.4
3079,ID,2016,8,688015.0,1113222.0,581629.0,45.4,1.3
3080,ID,2016,9,503109.0,765852.0,498210.0,45.2,1.0
3081,ID,2016,10,549854.0,577664.0,503476.0,44.8,0.6
3082,ID,2016,11,653606.0,485590.0,491864.0,45.5,1.4
3083,ID,2016,12,1021463.0,504001.0,589461.0,45.1,0.9
3084,ID,2017,1,1102078.0,535097.0,591930.0,44.5,0.4
3085,ID,2017,2,795682.0,463322.0,505232.0,44.3,0.2
3086,ID,2017,3,703400.0,525475.0,516607.0,44.4,0.3
3087,ID,2017,4,601967.0,528985.0,471962.0,43.9,-0.2
3088,ID,2017,5,561993.0,801057.0,505683.0,43.9,-0.2
3089,ID,2017,6,591609.0,1088837.0,522166.0,43.7,-0.4
3090,ID,2017,7,815456.0,1251147.0,612060.0,44.1,0.0
3091,ID,2017,8,728695.0,1086443.0,587713.0,44.3,0.2
3092,ID,2017,9,565054.0,771150.0,511072.0,44.4,0.2
3093,ID,2017,10,598521.0,579223.0,514790.0,44.1,-0.1
3094,ID,2017,11,704878.0,502257.0,512425.0,43.8,-0.3
3095,ID,2017,12,958568.0,511896.0,569362.0,44.3,0.1
3096,ID,2018,1,883198.0,535295.0,554453.0,45.3,1.2
3097,ID,2018,2,776469.0,463734.0,516167.0,45.0,0.9
3098,ID,2018,3,752308.0,520223.0,521038.0,44.6,0.5
3099,ID,2018,4,598199.0,606439.0,483743.0,44.8,0.7
3100,ID,2018,5,544580.0,857368.0,514306.0,45.0,0.9
3101,ID,2018,6,585404.0,1107263.0,525943.0,44.9,0.8
3102,ID,2018,7,788950.0,1281263.0,603476.0,44.8,0.7
3103,ID,2018,8,710514.0,1066912.0,587854.0,44.6,0.5
3104,ID,2018,9,523444.0,824730.0,514806.0,44.7,0.5
3105,ID,2018,10,565790.0,579765.0,515926.0,44.8,0.6
3106,ID,2018,11,749292.0,502423.0,530291.0,44.6,0.5
3107,ID,2018,12,949432.0,543622.0,568889.0,44.5,0.3
3108,ID,2019,1,929514.0,528330.0,565733.0,44.2,0.1
3109,ID,2019,2,850405.0,470087.0,526805.0,43.9,-0.2
3110,ID,2019,3,783879.0,530423.0,509192.0,43.8,-0.3
3111,ID,2019,4,590022.0,597393.0,482854.0,43.9,-0.2
3112,ID,2019,5,540385.0,793150.0,497781.0,43.5,-0.6
3113,ID,2019,6,586555.0,1059999.0,513678.0,43.5,-0.6
3114,ID,2019,7,734136.0,1252128.0,580215.0,43.2,-0.9
3115,ID,2019,8,736558.0,1116652.0,595831.0,43.3,-0.8
3116,ID,2019,9,557094.0,783312.0,515195.0,43.2,-1.0
3117,ID,2019,10,660357.0,577432.0,530894.0,42.6,-1.6
3118,ID,2019,11,763486.0,487595.0,523793.0,42.8,-1.3
3119,ID,2019,12,915219.0,570759.0,557383.0,43.0,-1.2
3120,ID,2020,1,918000.0,553000.0,566000.0,43.1,-1.0
3121,ID,2020,2,835000.0,531000.0,534000.0,43.3,-0.8
3122,ID,2020,3,748000.0,527000.0,509000.0,43.5,-0.6
3123,ID,2020,4,654000.0,627000.0,450000.0,43.4,-0.7
3124,ID,2020,5,597000.0,893000.0,461000.0,43.5,-0.6
3125,ID,2020,6,629000.0,1089000.0,497000.0,43.4,-0.7
3126,ID,2020,7,793000.0,1219000.0,567000.0,43.4,-0.7
3127,ID,2020,8,780000.0,1146000.0,584000.0,43.5,-0.6
3128,ID,2020,9,589000.0,850000.0,530000.0,43.8,-0.4
3129,ID,2020,10,616000.0,645000.0,518000.0,44.5,0.3
3130,ID,2020,11,805000.0,516000.0,525000.0,44.4,0.3
3131,ID,2020,12,1008000.0,586000.0,570000.0,44.3,0.1
3132,ID,2021,1,968357.4,569049.22,558083.17,44.3,0.2
3133,ID,2021,2,872565.59,511114.97,515565.31,44.2,0.1
3134,ID,2021,3,761199.79,555532.13,529357.09,44.2,0.1
3135,ID,2021,4,673833.5,674717.97,507659.96,44.2,0.1
3136,ID,2021,5,590836.35,945054.17,511724.61,44.2,0.1
3137,ID,2021,6,786113.59,1304740.0,588635.17,44.9,0.8
3138,ID,2021,7,950231.71,1273772.9,643044.55,45.5,1.4
3139,ID,2021,8,762451.42,1054927.3,590179.87,45.2,1.1
3140,ID,2021,9,584533.75,802366.68,533528.37,45.1,0.9
3141,ID,2021,10,611357.23,583645.92,520856.62,45.1,0.9
3142,ID,2021,11,754085.36,526794.9,525262.49,45.4,1.3
3143,ID,2021,12,985277.3,582760.86,576398.8,45.4,1.2
3144,ID,2022,1,1105060.7,596664.11,593095.32,45.2,1.1
3145,ID,2022,2,941996.92,527176.86,548762.53,45.1,1.0
3146,ID,2022,3,810473.9,591698.95,555332.23,45.2,1.1
3147,ID,2022,4,717066.29,638529.19,517036.32,44.8,0.7
3148,ID,2022,5,635136.54,864128.09,514878.47,44.6,0.5
3149,ID,2022,6,644201.07,1071762.4,535792.78,43.9,-0.2
3150,ID,2022,7,911238.75,1348418.0,633998.94,43.7,-0.4
3151,ID,2022,8,906998.03,1098829.8,647853.93,44.2,0.1
3152,ID,2022,9,650289.76,907327.7,567482.61,44.5,0.3
3153,ID,2022,10,600572.94,655693.76,532180.54,44.7,0.5
3154,ID,2022,11,910993.07,519848.31,574694.53,43.8,-0.3
3155,ID,2022,12,1129625.0,580675.82,615616.8,43.5,-0.7
3156,ID,2023,1,1069973.4,594553.61,598794.31,43.5,-0.6
3157,ID,2023,2,959242.66,540145.78,553507.96,43.4,-0.7
3158,ID,2023,3,935218.07,591135.51,572520.23,42.7,-1.4
3159,ID,2023,4,741559.14,618173.53,515726.41,42.8,-1.3
3160,ID,2023,5,633512.99,829405.72,539971.13,43.4,-0.7
3161,ID,2023,6,643962.05,1028321.4,545780.03,43.4,-0.7
3162,ID,2023,7,912067.94,1310947.8,636392.08,43.4,-0.7
3163,ID,2023,8,826637.03,1035984.7,631784.48,43.1,-1.0
3164,ID,2023,9,617352.78,806071.81,550051.58,42.7,-1.5
3165,ID,2023,10,624591.08,630912.24,546440.66,42.5,-1.7
3166,ID,2023,11,820944.2,515809.53,553757.58,43.2,-0.9
3167,ID,2023,12,1008203.7,537154.37,597369.56,43.8,-0.4
3168,IL,2000,1,3828621.0,3354262.0,3844311.0,53.7,0.8
3169,IL,2000,2,3244497.0,3285677.0,3402231.0,53.7,0.7
3170,IL,2000,3,2903400.0,3330241.0,3155459.0,54.4,1.4
3171,IL,2000,4,2528976.0,3328849.0,3106584.0,54.1,1.1
3172,IL,2000,5,2700772.0,3310657.0,3589025.0,54.2,1.2
3173,IL,2000,6,3283280.0,3645233.0,3796371.0,54.1,1.1
3174,IL,2000,7,4237373.0,3317869.0,3969114.0,53.6,0.6
3175,IL,2000,8,4247741.0,4038078.0,4469263.0,53.9,0.9
3176,IL,2000,9,3485957.0,3339775.0,3579958.0,54.0,1.0
3177,IL,2000,10,2658995.0,3455618.0,3583358.0,54.2,1.2
3178,IL,2000,11,2863991.0,3465558.0,3467601.0,53.5,0.5
3179,IL,2000,12,4162798.0,3067394.0,3891952.0,52.2,-0.8
3180,IL,2001,1,4276215.0,3489342.0,3692911.0,52.1,-0.8
3181,IL,2001,2,3346876.0,3899633.0,3564138.0,51.5,-1.5
3182,IL,2001,3,3226525.0,3299860.0,3352045.0,50.8,-2.2
3183,IL,2001,4,2760593.0,3005147.0,3074234.0,51.3,-1.7
3184,IL,2001,5,2724446.0,3500065.0,3619727.0,51.3,-1.7
3185,IL,2001,6,3200664.0,3736532.0,3781190.0,51.2,-1.8
3186,IL,2001,7,4594074.0,3618445.0,4099057.0,51.4,-1.6
3187,IL,2001,8,5399061.0,3399927.0,4150073.0,51.4,-1.6
3188,IL,2001,9,3470125.0,3318588.0,3493105.0,51.3,-1.7
3189,IL,2001,10,2570265.0,3313323.0,3506713.0,50.9,-2.1
3190,IL,2001,11,2499060.0,3158525.0,3446599.0,51.8,-1.2
3191,IL,2001,12,3752102.0,3040556.0,3355630.0,53.4,0.4
3192,IL,2002,1,4071047.0,2792420.0,3535421.0,54.0,1.1
3193,IL,2002,2,3250843.0,3189891.0,3454057.0,54.3,1.3
3194,IL,2002,3,3352770.0,3281395.0,3355593.0,54.4,1.4
3195,IL,2002,4,3004530.0,3094988.0,3420999.0,54.0,1.0
3196,IL,2002,5,2713486.0,3435787.0,3449952.0,53.6,0.6
3197,IL,2002,6,3930166.0,3674104.0,3918823.0,53.9,0.9
3198,IL,2002,7,5814414.0,3548152.0,4254783.0,54.1,1.1
